timestamp,price,volume,signal
2023-10-01 09:30:01,100.04351616898066,412,1
2023-10-01 09:30:01,100.1286264762285,107,-1
2023-10-01 09:30:02,100.00591047446058,690,1
2023-10-01 09:30:02,100.0916035471317,692,-1
2023-10-01 09:30:03,99.91973105888404,143,1
2023-10-01 09:30:03,99.99765457093702,361,-1
2023-10-01 09:30:04,99.73245705793796,802,1
2023-10-01 09:30:04,99.82279428500748,295,-1
2023-10-01 09:30:05,99.68138541973637,185,1
2023-10-01 09:30:05,99.76515554367252,421,-1
2023-10-01 09:30:06,99.70709995563374,188,1
2023-10-01 09:30:06,99.82273815244527,530,-1
2023-10-01 09:30:07,99.5893578330107,649,1
2023-10-01 09:30:07,99.67398272187316,585,-1
2023-10-01 09:30:08,99.59978470534283,589,1
2023-10-01 09:30:08,99.67657415772494,920,-1
2023-10-01 09:30:09,99.63254519055042,108,1
2023-10-01 09:30:09,99.68893084209694,602,-1
2023-10-01 09:30:10,99.61452876569096,145,1
2023-10-01 09:30:10,99.68700813812012,162,-1
2023-10-01 09:30:11,99.56535282317206,629,1
2023-10-01 09:30:11,99.62644981541726,865,-1
2023-10-01 09:30:11,99.56535282317206,1000,1
2023-10-01 09:30:12,99.67640469264701,726,1
2023-10-01 09:30:12,99.75680877451913,173,-1
2023-10-01 09:30:13,99.4523876740284,447,1
2023-10-01 09:30:13,99.5390212597993,177,-1
2023-10-01 09:30:13,99.5390212597993,823,-1
2023-10-01 09:30:14,99.32446389928415,556,1
2023-10-01 09:30:14,99.40081861213673,589,-1
2023-10-01 09:30:15,99.21565757830828,489,1
2023-10-01 09:30:15,99.28770477049771,465,-1
2023-10-01 09:30:16,99.29309358273808,406,1
2023-10-01 09:30:16,99.36999953777156,860,-1
2023-10-01 09:30:17,99.18464621872289,675,1
2023-10-01 09:30:17,99.27173297347287,913,-1
2023-10-01 09:30:18,99.24813477763418,541,1
2023-10-01 09:30:18,99.31482012814953,347,-1
2023-10-01 09:30:19,99.1793048900767,707,1
2023-10-01 09:30:19,99.24666644440671,475,-1
2023-10-01 09:30:20,99.26032129176325,905,1
2023-10-01 09:30:20,99.35368564585177,634,-1
2023-10-01 09:30:21,99.21130860964662,991,1
2023-10-01 09:30:21,99.31182203662053,860,-1
2023-10-01 09:30:22,99.15967442557293,406,1
2023-10-01 09:30:22,99.2500914359959,226,-1
2023-10-01 09:30:23,99.14506423714256,222,1
2023-10-01 09:30:23,99.2249258940896,560,-1
2023-10-01 09:30:24,99.18496117003345,687,1
2023-10-01 09:30:24,99.26630469037204,542,-1
